date,sp500_index_real,sp500_index_nominal,djia_index_real,djia_index_nominal,nasdaq100_index_avg
12/31/1942,184.47,9.77,2254.39,119.4,
1/31/1943,197.68,10.47,2371.08,125.58,
2/28/1943,207.69,11,2456.61,130.11,
3/31/1943,214.82,11.58,2533.51,136.57,
4/30/1943,212.54,11.59,2484.43,135.48,
5/31/1943,220.8,12.11,2590.18,142.06,
6/30/1943,225.18,12.35,2614.25,143.38,
7/31/1943,214.19,11.68,2493.05,135.95,
8/31/1943,217.64,11.8,2519.82,136.62,
9/30/1943,221.52,12.08,2569.52,140.12,
10/31/1943,218.59,11.92,2535.6,138.27,
11/30/1943,202.08,11.02,2376.05,129.57,
12/31/1943,214,11.67,2491.95,135.89,
1/31/1944,217.31,11.85,2519.64,137.4,
2/29/1944,216.76,11.82,2499.47,136.3,
3/31/1944,220.42,12.02,2546.05,138.84,
4/30/1944,216.43,11.87,2483.88,136.23,
5/31/1944,225.18,12.35,2593.46,142.24,
6/30/1944,235.33,12.98,2690.13,148.38,
7/31/1944,229.12,12.71,2633.92,146.11,
8/31/1944,231.11,12.82,2649.79,146.99,
9/30/1944,230.39,12.78,2645.1,146.73,
10/31/1944,230.39,12.78,2641.5,146.53,
11/30/1944,231.29,12.83,2655.92,147.33,
12/31/1944,238.06,13.28,2730.49,152.32,
1/31/1945,241.46,13.47,2754.69,153.67,
2/28/1945,256.34,14.3,2875.33,160.4,
3/31/1945,244.51,13.64,2767.95,154.41,
4/30/1945,266.02,14.84,2965.68,165.44,
5/31/1945,267.57,15.01,3000.12,168.3,
6/30/1945,263.73,14.96,2913.9,165.29,
7/31/1945,258.44,14.66,2871.41,162.88,
8/31/1945,273.43,15.51,3072.56,174.29,
9/30/1945,284.88,16.16,3203.37,181.71,
10/31/1945,293.52,16.65,3289.57,186.6,
11/30/1945,303.04,17.19,3375.25,191.46,
12/31/1945,304.36,17.36,3382.1,192.91,
1/31/1946,325.57,18.57,3588.27,204.67,
2/28/1946,304.63,17.28,3351.1,190.09,
3/31/1946,315.24,18.08,3482.84,199.75,
4/30/1946,325.32,18.76,3585.6,206.77,
5/31/1946,330.82,19.18,3661.41,212.28,
6/30/1946,314.47,18.43,3508.49,205.62,
7/31/1946,289.43,17.96,3248.14,201.56,
8/31/1946,263,16.65,2988.45,189.19,
9/30/1946,233.99,14.96,2696.82,172.42,
10/31/1946,227.65,14.84,2594.76,169.15,
11/30/1946,219.76,14.67,2543.6,169.8,
12/31/1946,227.07,15.3,2629.83,177.2,
1/31/1947,232.41,15.66,2677.91,180.44,
2/28/1947,229,15.43,2655.05,178.9,
3/31/1947,221.03,15.17,2581.8,177.2,
4/30/1947,212.43,14.58,2486.22,170.64,
5/31/1947,210.54,14.45,2465.97,169.25,
6/30/1947,220.61,15.21,2571.56,177.3,
7/31/1947,226.52,15.76,2632.85,183.18,
8/31/1947,217.25,15.32,2536.27,178.85,
9/30/1947,209.62,15.11,2462.32,177.49,
10/31/1947,214.06,15.43,2522.25,181.81,
11/30/1947,207.06,14.99,2478.05,179.4,
12/31/1947,208.63,15.3,2470.3,181.16,
1/31/1948,197.77,14.69,2356.7,175.05,
2/29/1948,190.09,14,2271.6,167.3,
3/31/1948,205.63,15.08,2416.3,177.2,
4/30/1948,207.54,15.48,2420.1,180.51,
5/31/1948,222.83,16.69,2546.57,190.74,
6/30/1948,221.64,16.74,2508.45,189.46,
7/31/1948,207.27,15.85,2371.25,181.33,
8/31/1948,207.99,15.97,2366.59,181.71,
9/30/1948,201.74,15.49,2322.18,178.3,
10/31/1948,216.29,16.54,2466.58,188.62,
11/30/1948,194.48,14.75,2257.27,171.2,
12/31/1948,201.25,15.2,2347.45,177.3,
1/31/1949,202.35,15.22,2381.4,179.12,
2/28/1949,196.01,14.62,2320.22,173.06,
3/31/1949,201.91,15.06,2374.38,177.1,
4/30/1949,196.79,14.74,2325.21,174.16,
5/31/1949,190.25,14.19,2257.2,168.36,
6/30/1949,189.05,14.16,2235.22,167.42,
7/31/1949,202.48,15.04,2368.41,175.92,
8/31/1949,204.05,15.22,2395.29,178.66,
9/30/1949,208.01,15.58,2436.69,182.51,
10/31/1949,215.95,16.04,2551.78,189.54,
11/30/1949,215.32,16.06,2568.11,191.55,
12/31/1949,226.6,16.76,2705.76,200.13,
1/31/1950,231.5,17.05,2739.9,201.79,
2/28/1950,233.81,17.22,2762.31,203.44,
3/31/1950,233.76,17.29,2785.8,206.05,
4/30/1950,244.31,18.07,2897.74,214.33,
5/31/1950,252.84,18.78,3007.9,223.42,
6/30/1950,237.17,17.69,2803.54,209.11,
7/31/1950,236.2,17.84,2772.46,209.4,
8/31/1950,241.87,18.42,2847.72,216.87,
9/30/1950,254.35,19.45,2960.11,226.36,
10/31/1950,253.32,19.53,2918.6,225.01,
11/30/1950,252.03,19.51,2940.14,227.6,
12/31/1950,260.49,20.41,3004.54,235.41,
1/31/1951,272.09,21.66,3125.8,248.83,
2/28/1951,270.67,21.8,3129.45,252.05,
3/31/1951,264.68,21.4,3066.52,247.94,
4/30/1951,277.41,22.43,3204.92,259.13,
5/31/1951,265.13,21.52,3075.69,249.65,
6/30/1951,258.23,20.96,2989.32,242.64,
7/31/1951,275.97,22.4,3176.84,257.86,
8/31/1951,286.81,23.28,3329.48,270.25,
9/30/1951,284.35,23.26,3314.93,271.16,
10/31/1951,279.39,22.94,3195.16,262.35,
11/30/1951,276.53,22.88,3157.71,261.27,
12/31/1951,286.21,23.77,3241.8,269.23,
1/31/1952,290.67,24.14,3259.38,270.69,
2/29/1952,282.19,23.26,3155.29,260.08,
3/31/1952,295.66,24.37,3269.09,269.46,
4/30/1952,281.85,23.32,3113.72,257.63,
5/31/1952,288.37,23.86,3177.89,262.94,
6/30/1952,300.54,24.96,3302.36,274.26,
7/31/1952,303.56,25.4,3341.02,279.56,
8/31/1952,299.13,25.03,3287,275.04,
9/30/1952,293.28,24.54,3234.06,270.61,
10/31/1952,293.04,24.52,3217.57,269.23,
11/30/1952,306.66,25.66,3390.02,283.66,
12/31/1952,317.54,26.57,3488.5,291.9,
1/31/1953,316.45,26.38,3476.08,289.77,
2/28/1953,311.86,25.9,3422.9,284.27,
3/31/1953,303.38,25.29,3357.32,279.87,
4/30/1953,295.34,24.62,3295.9,274.75,
5/31/1953,293.28,24.54,3254.02,272.28,
6/30/1953,287.41,24.14,3193.9,268.26,
7/31/1953,294.67,24.75,3278.67,275.38,
8/31/1953,276.62,23.32,3098.59,261.22,
9/30/1953,276.98,23.35,3132.04,264.04,
10/31/1953,290.01,24.54,3259.52,275.81,
11/30/1953,293.7,24.76,3337.61,281.37,
12/31/1953,294.3,24.81,3332.04,280.9,
1/31/1954,309.36,26.08,3468.33,292.39,
2/28/1954,310.19,26.15,3493.83,294.54,
3/31/1954,319.56,26.94,3600.24,303.51,
4/30/1954,336.46,28.26,3801.94,319.33,
5/31/1954,346.25,29.19,3884.69,327.49,
6/30/1954,346.49,29.21,3956.33,333.53,
7/31/1954,366.3,30.88,4127.03,347.92,
8/31/1954,353.84,29.83,3983.26,335.8,
9/30/1954,384.68,32.31,4291.64,360.46,
10/31/1954,377.18,31.68,4192.58,352.14,
11/30/1954,407.66,34.24,4604.88,386.77,
12/31/1954,430,35.98,4832.86,404.39,
1/31/1955,437.77,36.63,4885.93,408.83,
2/28/1955,439.32,36.76,4922.26,411.87,
3/31/1955,437.17,36.58,4896.32,409.7,
4/30/1955,453.66,37.96,5086.94,425.65,
5/31/1955,453.06,37.91,5077.5,424.86,
6/30/1955,490.35,41.03,5394.44,451.38,
7/31/1955,518.15,43.52,5546.41,465.85,
8/31/1955,514.1,43.18,5574.15,468.18,
9/30/1955,518.01,43.67,5535.05,466.62,
10/31/1955,502.24,42.34,5395.67,454.87,
11/30/1955,539.84,45.51,5732.43,483.26,
12/31/1955,541.48,45.48,5814.89,488.4,
1/31/1956,521.72,43.82,5604.63,470.74,
2/29/1956,539.82,45.34,5758.34,483.65,
3/31/1956,577.2,48.48,6093.37,511.79,
4/30/1956,573.88,48.38,6122.22,516.12,
5/31/1956,534.17,45.2,5649.59,478.05,
6/30/1956,551.01,46.97,5780.8,492.78,
7/31/1956,575.15,49.39,6029.9,517.81,
8/31/1956,555.3,47.51,5867.84,502.04,
9/30/1956,528.1,45.35,5534.29,475.25,
10/31/1956,528.86,45.58,5567.7,479.85,
11/30/1956,523.06,45.08,5485.67,472.78,
12/31/1956,539.55,46.67,5774.37,499.47,
1/31/1957,517.01,44.72,5539.57,479.16,
2/28/1957,498.31,43.26,5351.96,464.62,
3/31/1957,506.29,44.11,5449.87,474.81,
4/30/1957,523.13,45.74,5654,494.36,
5/31/1957,540.51,47.43,5754.18,504.93,
6/30/1957,537.89,47.37,5714.86,503.29,
7/31/1957,540.19,47.91,5733.56,508.52,
8/31/1957,509.86,45.22,5461.05,484.35,
9/30/1957,478.29,42.42,5144.78,456.3,
10/31/1957,462.95,41.06,4972.73,441.04,
11/30/1957,468.72,41.72,5054.29,449.87,
12/31/1957,449.29,39.99,4894.98,435.69,
1/31/1958,465.25,41.7,5020.87,450.02,
2/28/1958,455.65,40.84,4908.19,439.92,
3/31/1958,466.43,42.1,4949.65,446.76,
4/30/1958,479.62,43.44,5033.15,455.86,
5/31/1958,486.8,44.09,5108.67,462.7,
6/30/1958,499.49,45.24,5279.59,478.18,
7/31/1958,519.23,47.19,5534.4,502.99,
8/31/1958,527.21,47.75,5615.78,508.63,
9/30/1958,552.71,50.06,5874.81,532.09,
10/31/1958,566.73,51.33,5997.69,543.22,
11/30/1958,577.44,52.48,6133.73,557.46,
12/31/1958,609.57,55.21,6444.08,583.65,
1/31/1959,610.12,55.45,6535.34,593.96,
2/28/1959,611.78,55.41,6663.24,603.5,
3/31/1959,612.11,55.44,6643.48,601.71,
4/30/1959,633.66,57.59,6863.12,623.75,
5/31/1959,645.66,58.68,7083.62,643.79,
6/30/1959,641.12,58.47,7057.07,643.6,
7/31/1959,661.19,60.51,7374.41,674.88,
8/31/1959,651.25,59.6,7260.01,664.41,
9/30/1959,619.42,56.88,6879,631.68,
10/31/1959,624.26,57.52,7017.55,646.6,
11/30/1959,632.51,58.28,7154.08,659.18,
12/31/1959,649.99,59.89,7373.09,679.36,
1/31/1960,605.59,55.61,6780.33,622.62,
2/29/1960,609.07,56.12,6838.69,630.12,
3/31/1960,600.61,55.34,6691.85,616.59,
4/30/1960,588.07,54.37,6507.99,601.7,
5/31/1960,603.86,55.83,6765.41,625.5,
6/30/1960,613.6,56.92,6905.88,640.62,
7/31/1960,598.4,55.51,6648.35,616.73,
8/31/1960,614.03,56.96,6748.17,625.99,
9/30/1960,576.95,53.52,6253.91,580.14,
10/31/1960,571.65,53.39,6213.91,580.36,
11/30/1960,594.67,55.54,6394.43,597.22,
12/31/1960,622.18,58.11,6594.33,615.89,
1/31/1961,661.48,61.78,6940.28,648.2,
2/28/1961,679.25,63.44,7088.89,662.08,
3/31/1961,696.6,65.06,7244.68,676.63,
4/30/1961,699.27,65.31,7266.95,678.71,
5/31/1961,712.66,66.56,7459.78,696.72,
6/30/1961,692.1,64.64,7323.16,683.96,
7/31/1961,710.06,66.76,7502.32,705.37,
8/31/1961,726.44,68.07,7683.2,719.94,
9/30/1961,709.74,66.73,7458.07,701.21,
10/31/1961,729.84,68.62,7486.89,703.92,
11/30/1961,758.56,71.32,7674.94,721.6,
12/31/1961,761.01,71.55,7776.41,731.14,
1/31/1962,732.18,68.84,7445.2,700,
2/28/1962,741.65,69.96,7506.04,708.05,
3/31/1962,737.3,69.55,7494.38,706.95,
4/30/1962,689.33,65.24,7029.88,665.33,
5/31/1962,630.05,59.63,6480.76,613.36,
6/30/1962,578.49,54.75,5930.48,561.28,
7/31/1962,613.22,58.23,6296.8,597.93,
8/31/1962,622.59,59.12,6415.27,609.18,
9/30/1962,590.61,56.27,6076.97,578.98,
10/31/1962,593.23,56.52,6190.23,589.77,
11/30/1962,653.48,62.26,6815.05,649.3,
12/31/1962,662.3,63.1,6844.44,652.1,
1/31/1963,694.84,66.2,7167.19,682.85,
2/28/1963,674.79,64.29,6958.22,662.94,
3/31/1963,696.46,66.57,7140.52,682.52,
4/30/1963,730.25,69.8,7508.58,717.7,
5/31/1963,740.71,70.8,7605.46,726.96,
6/30/1963,723.39,69.37,7371.34,706.88,
7/31/1963,718.54,69.13,7228.3,695.43,
8/31/1963,753.57,72.5,7580.55,729.32,
9/30/1963,745.25,71.7,7616.62,732.79,
10/31/1963,766.74,74.01,7824.18,755.23,
11/30/1963,758.66,73.23,7775.39,750.52,
12/31/1963,774.66,75.02,7878.22,762.95,
1/31/1964,795.52,77.04,8109.42,785.34,
2/29/1964,803.36,77.8,8262.25,800.14,
3/31/1964,815.55,78.98,8398.03,813.29,
4/30/1964,820.5,79.46,8372.01,810.77,
5/31/1964,829.9,80.37,8473.1,820.56,
6/30/1964,840.84,81.69,8558.63,831.5,
7/31/1964,853.43,83.18,8629.69,841.1,
8/31/1964,842.28,81.83,8630.47,838.48,
9/30/1964,863.69,84.18,8981.3,875.37,
10/31/1964,870.66,84.86,8957.8,873.08,
11/30/1964,863.36,84.42,8953.02,875.43,
12/31/1964,866.74,84.75,8939.73,874.13,
1/31/1965,895.48,87.56,9233.55,902.86,
2/28/1965,894.15,87.43,9239.89,903.48,
3/31/1965,878.32,86.16,9062.98,889.05,
4/30/1965,905.54,89.11,9372.51,922.31,
5/31/1965,898.52,88.42,9329.12,918.04,
6/30/1965,849.44,84.12,8765.37,868.03,
7/31/1965,860.85,85.25,8903.81,881.74,
8/31/1965,880.24,87.17,9018.52,893.1,
9/30/1965,908.42,89.96,9397,930.58,
10/31/1965,930.3,92.42,9671.61,960.82,
11/30/1965,922.15,91.61,9529.58,946.71,
12/31/1965,927.44,92.43,9725.55,969.26,
1/31/1966,931.96,92.88,9868.54,983.51,
2/28/1966,909.55,91.22,9491.3,951.89,
3/31/1966,886.95,89.23,9192.21,924.77,
4/30/1966,899.58,91.06,9223.82,933.68,
5/31/1966,850.88,86.13,8733.73,884.07,
6/30/1966,834.52,84.74,8568.74,870.1,
7/31/1966,820.78,83.6,8319.58,847.38,
8/31/1966,752.34,77.1,7693.3,788.41,
9/30/1966,747.07,76.56,7554.84,774.22,
10/31/1966,777.86,80.2,7827.77,807.07,
11/30/1966,780.28,80.45,7677.63,791.59,
12/31/1966,779.12,80.33,7620.41,785.69,
1/31/1967,840.03,86.61,8243.08,849.89,
2/28/1967,841.68,86.78,8141.05,839.37,
3/31/1967,872.14,90.2,8373.16,865.98,
4/30/1967,906.26,94.01,8647.56,897.05,
5/31/1967,856.15,89.08,8193.95,852.56,
6/30/1967,868.51,90.64,8243.01,860.26,
7/31/1967,905.15,94.75,8638.2,904.24,
8/31/1967,891.92,93.64,8584.79,901.29,
9/30/1967,918.36,96.71,8799.56,926.66,
10/31/1967,883.36,93.3,8329.38,879.74,
11/30/1967,887.36,94,8267.65,875.81,
12/31/1967,907.98,96.47,8518.9,905.11,
1/31/1968,863.09,92.24,8004.63,855.47,
2/29/1968,833.73,89.36,7841.87,840.5,
3/31/1968,839.13,90.2,7820.75,840.67,
4/30/1968,904.04,97.46,8461.75,912.22,
5/31/1968,912.69,98.68,8314.85,899,
6/30/1968,915.64,99.58,8255.27,897.8,
7/31/1968,893.64,97.74,8073.27,883,
8/31/1968,901.31,98.86,8168.92,896.01,
9/30/1968,933.37,102.67,8507.27,935.79,
10/31/1968,934.72,103.41,8608.65,952.39,
11/30/1968,976.85,108.37,8879.51,985.08,
12/31/1968,933.49,103.86,8482.43,943.75,
1/31/1969,923.28,103.01,8479.45,946.05,
2/28/1969,874.63,98.13,8068.14,905.21,
3/31/1969,897.25,101.51,8268.71,935.48,
4/30/1969,911.44,103.69,8352.08,950.18,
5/31/1969,906.93,103.46,8218.65,937.56,
6/30/1969,851.84,97.71,7612.47,873.19,
7/31/1969,796.26,91.83,7070.94,815.47,
8/31/1969,823.68,95.51,7215.87,836.72,
9/30/1969,800.93,93.12,6993.39,813.09,
10/31/1969,830.76,97.12,7322.14,855.99,
11/30/1969,798.23,93.81,6911.86,812.3,
12/31/1969,779.2,92.06,6774.25,800.36,
1/31/1970,717.65,85.02,6280.61,744.06,
2/28/1970,751.53,89.5,6529.42,777.59,
3/31/1970,748.68,89.63,6561.87,785.57,
4/30/1970,675.64,81.52,6100.55,736.07,
5/31/1970,632.76,76.55,5789.84,700.44,
6/30/1970,598.05,72.72,5621.35,683.53,
7/31/1970,638.61,78.05,6006.57,734.12,
8/31/1970,667,81.52,6255.79,764.58,
9/30/1970,686.2,84.3,6191.94,760.68,
10/31/1970,674.24,83.25,6119.69,755.61,
11/30/1970,702.66,87.2,6398.78,794.09,
12/31/1970,738.77,92.15,6725.62,838.92,
1/31/1971,768.67,95.88,6962.76,868.5,
2/28/1971,773.71,96.75,7028,878.83,
3/31/1971,800.17,100.31,7214.16,904.37,
4/30/1971,827.13,103.95,7493.5,941.75,
5/31/1971,788.87,99.63,7188.04,907.81,
6/30/1971,775.68,98.7,7003.47,891.14,
7/31/1971,749.35,95.58,6730.09,858.43,
8/31/1971,774.51,99.03,7023.81,898.07,
9/30/1971,769.12,98.34,6938.71,887.19,
10/31/1971,735.18,94.23,6545.88,839,
11/30/1971,733.31,93.99,6486.11,831.34,
12/31/1971,792.63,102.09,6911.51,890.2,
1/31/1972,806.99,103.94,7004.45,902.17,
2/29/1972,823.36,106.57,7170.73,928.13,
3/31/1972,826.19,107.2,7249.97,940.7,
4/30/1972,827.87,107.67,7336.61,954.17,
5/31/1972,840.1,109.53,7368.72,960.72,
6/30/1972,819.84,107.14,7108.94,929.03,
7/31/1972,817.77,107.39,7041.9,924.74,
8/31/1972,843.95,111.09,7321.46,963.73,
9/30/1972,837.86,110.55,7224.83,953.27,
10/31/1972,841.65,111.58,7207.49,955.52,
11/30/1972,878.06,116.67,7663.05,1018.21,
12/31/1972,886.32,118.05,7658.31,1020.02,
1/31/1973,869.06,116.03,7482.66,999.02,
2/28/1973,830.68,111.68,7103.81,955.07,
3/31/1973,821.79,111.52,7007.99,951.01,
4/30/1973,782.81,106.97,6743.02,921.43,
5/31/1973,762.78,104.95,6551.45,901.41,
6/30/1973,752.65,104.26,6437.25,891.71,
7/31/1973,779.51,108.22,6672.86,926.4,
8/31/1973,737.57,104.25,6279.56,887.57,
9/30/1973,765.41,108.43,6685.58,947.1,
10/31/1973,757.71,108.29,6693.19,956.58,
11/30/1973,667.11,95.96,5716.28,822.25,
12/31/1973,673.78,97.55,5876.89,850.86,
1/31/1974,661.21,96.57,5857.95,855.55,
2/28/1974,650.45,96.22,5817.18,860.53,
3/31/1974,627.32,93.98,5651.59,846.68,
4/30/1974,600.38,90.31,5562.71,836.75,
